a1 啊 
xing3 醒 
xing4 杏 
xiong1 匂 
xiong2 雄 
xiong3 焸 
xiong4 诇 
xiu1 休 
xiu2 苬 
xiu3 朽 
xiu4 秀 
xu1 盱 
xu2 俆 
xu3 许 
xu4 旭 
xuan1 轩 
xuan2 玄 
xuan3 选 
xuan4 泫 
xue1 疶 
xue2 穴 
xue3 雪 
xue4 狘 
xun1 坃 
xun2 廵 
xun4 讯 
ya1 丫 
ya2 牙 
ya3 厊 
ya4 圠 
yan1 恹 
yan2 延 
yan3 抁 
yan4 妟 
yang1 央 
yang2 阳 
yang3 佒 
yang4 怏 
yao1 幺 
yao2 爻 
yao3 宎 
yao4 穾 
ye1 吔 
ye2 爷 
ye3 也 
ye4 业 
yi1 一 
yi2 匜 
yi3 乙 
yi4 亿 
yin1 因 
yin2 吟 
yin3 引 
yin4 印 
ying1 英 
ying2 迎 
ying3 郢 
ying4 映 
yo1 唷 
yong1 拥 
yong2 颙 
yong3 永 
yong4 用 
you1 优 
you2 尤 
you3 友 
you4 又 
yu1 迂 
yu2 于 
yu3 屿 
yu4 驭 
yuan1 囦 
yuan2 元 
yuan3 远 
yuan4 苑 
yue1 曰 
yue3 噦 
yue4 月 
yun1 蒀 
yun2 匀 
yun3 允 
yun4 孕 
za1 帀 
za2 杂 
zai1 灾 
zai3 宰 
zai4 再 
zan1 糌 
zan2 偺 
zan3 昝 
zan4 暂 
zang1 赃 
zang3 驵 
zang4 弉 
zao1 傮 
zao2 凿 
zao3 早 
zao4 灶 
ze2 则 
ze4 仄 
zei2 贼 
zen3 怎 
zen4 谮 
zeng1 増 
zeng4 锃 
zha1 抯 
zha2 札 
zha3 拃 
zha4 乍 
zhai1 夈 
zhai2 宅 
zhai3 窄 
zhai4 债 
zhan1 沾 
zhan2 讝 
zhan3 斩 
zhan4 战 
zhang1 仉 
zhang3 掌 
zhang4 丈 
zhao1 钊 
zhao3 找 
zhao4 兆 
zhe1 遮 
zhe2 歽 
zhe3 者 
zhe4 柘 
zhen1 贞 
zhen3 诊 
zhen4 阵 
zheng1 佂 
zheng3 抍 
zheng4 证 
zhi1 支 
zhi2 执 
zhi3 止 
zhi4 至 
zhong1 伀 
zhong2 肿 
zhong3 众 
zhou1 州 
zhou2 妯 
zhou3 肘 
zhou4 纣 
zhu1 朱 
zhu2 竹 
zhu3 劯 
zhu4 伫 
zhua1 抓 
zhuai3 跩 
zhuan1 专 
zhuan3 孨 
zhuan4 灷 
zhuang1 庄 
zhuang4 壮 
zhui1 追 
zhui3 沝 
zhui4 坠 
zhun1 迍 
zhun3 准 
zhun4 訰 
zhuo1 拙 
zhuo2 圴 
zi1 孜 
zi2 蓻 
zi3 吇 
zi4 字 
zong1 宗 
zong3 总 
zong4 纵 
zou1 邹 
zou3 走 
zou4 揍 
zu1 租 
zu2 足 
zu3 阻 
zuan1 劗 
zuan3 繤 
zuan4 攥 
zui1 厜 
zui3 嶊 
zui4 栬 
zun1 尊 
zun3 僔 
zun4 捘 
zuo1 穝 
zuo2 昨 
zuo3 左 
zuo4 阼 
